created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 30 22:47:38 +0000 2023;1741229585105326389;"@AISafetyMemes Doomsday panic has never been an effective at organizing society to deal with problems, in fact, it overall makes people less likely to tackle actual issues due to the "well it's all going to end anyway" mindset. Basically what the Tomorrowland film says.";0;0;0;0;en;488651889;1741109347961156040;SkyeSharkie;https://twitter.com/SkyeSharkie/status/1741229585105326389
Sat Dec 30 22:10:52 +0000 2023;1741220331581211108;"The opening track for the Nina Kravitz' set at Tomorrowland 23.. What a crooked track.. In astronomy analemma is a diagram showing the position of the Sun in the sky as seen from a fixed location on Earth at the same mea... https://t.co/uLAZmny1j8";0;0;0;0;en;1576814823324766210;1741220331581211108;ThePotCatsRadio;https://twitter.com/ThePotCatsRadio/status/1741220331581211108
Sat Dec 30 22:10:12 +0000 2023;1741220166438895664;"ALLEZ AMBIANCE TOMORROWLAND #StarAcademy";0;0;0;1;en;88469421;1741220166438895664;RamPAIGEr31;https://twitter.com/RamPAIGEr31/status/1741220166438895664
Sat Dec 30 22:03:33 +0000 2023;1741218490575475072;"Hey @elonmusk, have you ever watched the Disney movie, Tomorrowland? It makes us appreciate #WaltDisney, but it also makes us think about you.";0;0;0;2;en;1675311380436492288;1741218490575475072;WaltUniv;https://twitter.com/WaltUniv/status/1741218490575475072
Sat Dec 30 22:01:21 +0000 2023;1741217936725987774;"📢 Registration for the $LINK Winter Airdrop is now opened 🎄🎁                                                       👉https://t.co/dnpQogGdHp👈  @BladSouza @momo44615605 @nftgulu @TomorrowLand__8";0;0;0;0;en;1737854130054647809;1741217936725987774;dierdre23804;https://twitter.com/dierdre23804/status/1741217936725987774
Sat Dec 30 21:37:25 +0000 2023;1741211916360470668;"@_mfergi Tomorrowland";0;0;0;2;en;54300860;1741196526972813346;desyreemb;https://twitter.com/desyreemb/status/1741211916360470668
Sat Dec 30 21:16:39 +0000 2023;1741206691075514824;"🎧 Nicki Minaj is the first female solo artist to have seven singles simultaneously charting on the Billboard Hot 💯  😎  🔗 Hit the link, FREE EDM MUSICS 👉🏻 https://t.co/mJyvEBohCn 🫶🏻  ❤️ Thanks for your support 💙  #nikiminaj #starships #edm #Music #Dj #mix #tomorrowland https://t.co/BhB62UA8dA";0;1;1;4;en;122790434;1741206691075514824;CedricLASS;https://twitter.com/CedricLASS/status/1741206691075514824
Sat Dec 30 21:15:28 +0000 2023;1741206393120514426;"Tomorrowland icon in the house “ Amare “ https://t.co/m6w4sQle3e";0;0;0;6;en;1168399072451006464;1741206393120514426;KevinVinnie2;https://twitter.com/KevinVinnie2/status/1741206393120514426
Sat Dec 30 19:35:14 +0000 2023;1741181166387106241;"I would love if Astro Orbiter didn’t come back to Tomorrowland";0;4;0;15;en;2386107834;1741181166387106241;Caitiebear13;https://twitter.com/Caitiebear13/status/1741181166387106241
Sat Dec 30 19:04:08 +0000 2023;1741173340687958444;"Anyma &amp  Rebūke - Syren [Live from Afterlife Tomorrowland] https://t.co/rSR6nA2inx via @YouTube";0;0;0;2;en;3398856221;1741173340687958444;ZoeSteinn;https://twitter.com/ZoeSteinn/status/1741173340687958444
Sat Dec 30 18:59:16 +0000 2023;1741172115598901445;"TOMORROWLAND 2024 | The Best Party Mix 2024 | Best Remixes &amp  Mashup of P... https://t.co/CqXEhDNdat via @YouTube";0;0;0;0;en;48986815;1741172115598901445;ffspinosa;https://twitter.com/ffspinosa/status/1741172115598901445
Sat Dec 30 18:52:07 +0000 2023;1741170317836357830;"@steveaoki @tomorrowland @KiDCuDi I was there in the crowd! 🎉";0;0;0;0;en;317448931;1741159095795929465;JoseRHDJ;https://twitter.com/JoseRHDJ/status/1741170317836357830
Sat Dec 30 18:50:22 +0000 2023;1741169878038642803;"@TangaroaJoel We on a similar page! Was just thinking of one where the theme was Earth and instead of Fantasyland, Tomorrowland, etc, we got the continents and rotate highlights from each, including entertainment habits! Who got $5 on it?";0;0;0;2;en;1558773094415618049;1740887482919752189;OldMisterChris;https://twitter.com/OldMisterChris/status/1741169878038642803
Sat Dec 30 18:41:21 +0000 2023;1741167605480644998;"@anon_opin Metropolis, Batman (Nolan &amp  Burton's), Escape from New York, Dark City, Fifth Element, Tomorrowland, Minority Report, Brazil ... I can think of quite a few impressive cityscapes.";0;0;0;0;en;125351647;1741125748717474274;locka99;https://twitter.com/locka99/status/1741167605480644998
