created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 30 13:25:06 +0000 2023;1741088019262972211;"kyk wethefest, trs solo concertnya bp, gda juga😭enggaaa aku ga ikut plss";0;0;0;0;in;1578028325217669121;1741087693176783076;piqnatelli;https://twitter.com/piqnatelli/status/1741088019262972211
Sat Dec 30 11:06:43 +0000 2023;1741053196582490149;"Jun: ke jogja sama annora jasmine adel Jul: nonton daniel caesar di wethefest Aug: apa ya, gua putus tp dibeliin bokap macbook baru kayanya, check in asrama i guess  Sep: ketemu temen-temen baru Oct: mixed feelings  Nov: accident Dec: eh kontol seru sih cm lebih banyak kontol nya";0;1;0;0;in;1364208242155352064;1740584127022424084;ndaalonica;https://twitter.com/ndaalonica/status/1741053196582490149
Fri Dec 29 21:02:01 +0000 2023;1740840619575234885;"Nonton @WeTheFest";0;0;0;0;en;77221797;1740840619575234885;jalbrahim23;https://twitter.com/jalbrahim23/status/1740840619575234885
Fri Dec 29 14:59:05 +0000 2023;1740749284625224092;"@ayilai We the fest thn brp lupa";0;1;0;0;in;33086996;1740743132004905355;nicksey;https://twitter.com/nicksey/status/1740749284625224092
Fri Dec 29 05:03:18 +0000 2023;1740599351007985670;"Pasar Musik, Raisa, Yerin Baek, IVE, Hindia, NIKI, We The Fest, Pestapora, Reality Club, Adhitia Sofyan, TWICE, dsb.";0;1;0;1;in;2758958943;1740599351007985670;dapurhangat;https://twitter.com/dapurhangat/status/1740599351007985670
Thu Dec 28 17:10:23 +0000 2023;1740419937326485956;"@dirawibi Ini we the fest kemarin yah";0;1;0;0;in;86064757;1740297143641055543;ammarghif;https://twitter.com/ammarghif/status/1740419937326485956
Thu Dec 28 14:00:29 +0000 2023;1740372150593437872;"Makes me wonder if I am being punished for something I dont realize I've done.  To be fair I've been to 4 major events (2 fieldtrips to Jogja &amp  Bandung respectively) &amp  2 festivals (WeTheFest &amp  Comifuro), I wonder if these exciting events come with losses to compensate for smthng";0;1;0;0;en;18886702;1740367335326888090;Ratryoshka;https://twitter.com/Ratryoshka/status/1740372150593437872
Thu Dec 28 09:46:18 +0000 2023;1740308182894063818;"01: promoted, amed trip 02: new home❤️ 03: men i trust 04: fam in bali 05: first 3K 06: gili air trip 07: we the fest + 5K milestone  08: mom + sister visit 09: singapore + batam + bintan trip 10: uh i hate talking about it 11: rethinking life choices + collier 12: IELTS";0;0;0;1;en;613213559;1740308182894063818;srimerdekawati_;https://twitter.com/srimerdekawati_/status/1740308182894063818
Wed Dec 27 17:41:51 +0000 2023;1740065468982174111;"jujur gua seneng bgt ngajakin adek gua wethefest (dadakan) kayak SIS… kakak lu tiap tahun wtfan dr 2017 and u belom pernah??? let me take u to this one… doi emg not really into this sih tp dia penggemar SO7 banget so lesgaurr https://t.co/y0L5IBlWAO";0;1;0;0;in;1100951863732498432;1737494741359423924;barbut_;https://twitter.com/barbut_/status/1740065468982174111
Wed Dec 27 12:17:02 +0000 2023;1739983726166351996;"🤍 things i remember in:  Jan: bandung &lt 3 Feb: first chat w kimi  Mar: my bday Apr: bukber &amp  lebaran!! May: biliard w frends Jun: java jazz w kimii Jul: we the fest!!!! Aug: fl momentss Sep: expoo!!  Oct: haha jd calon ketua Nov: COLDPLAAAYYY Dec: bbq niight!!";0;0;0;1;en;1579376582539739137;1739983726166351996;milkhoneysweett;https://twitter.com/milkhoneysweett/status/1739983726166351996
Wed Dec 27 11:07:27 +0000 2023;1739966216767483956;"Jan: jomblo Feb: jomblo Mar: jomblo Apr: jomblo kena tipu jual beli mobil May: jomblo minggat ke jakarta Jun: ultah Jul: we the fest Aug: jomblo Sep: jomblo Oct: nonton rex orange county Nov: ke thailand sama kl Dec: tetep jomblo";0;0;0;0;in;1102210924721582080;1739966216767483956;Adtysptr21;https://twitter.com/Adtysptr21/status/1739966216767483956
Wed Dec 27 08:46:32 +0000 2023;1739930753666781343;"Mintak pendapat rakan rakan. Festival di indo yg mana aku patut pi next year ? Pes por okay ka ? We the fest ? Dan lain lain ?";0;0;0;0;in;1313899417;1739930753666781343;adiikhwan__;https://twitter.com/adiikhwan__/status/1739930753666781343
Mon Dec 25 06:44:48 +0000 2023;1739175343708402007;"@KetemuOppa Concerts / Fan Meeting Event that I attended in 2023:  Jan: - Feb: - Mar: THE DREAM SHOW 2 in JKT Apr: - May: - Jun: WOODZ OOLI in JKT Jul: CXO Media Live on Stage Epik High, WE THE FEST Aug: - Sep: - Oct: - Nov: - Dec: LAZADA FEST RV&amp Key  #GiveawayKetemuOppa";0;0;0;0;en;501555400;1738937028887351748;marktheelixir;https://twitter.com/marktheelixir/status/1739175343708402007
Mon Dec 25 03:25:04 +0000 2023;1739125077961261271;"Beli vinyl Good Faith Madeon ✅ Nonton konser SUGA AGUST D ✅ (1/7 BTS, Bismillah OT7 soon) Beli MacBook Air M1 sksksksk ✅ Nonton Porter Robinson nawarin Nurture Live Set di We The Fest ✅  Alhamdulillah Ya Allah, MasyaAllah Tabarakallah 🙏 https://t.co/aP30qzOGCv";0;1;0;5;in;1341827067004907520;1739125077961261271;kingnyamjoon;https://twitter.com/kingnyamjoon/status/1739125077961261271
Mon Dec 25 03:09:43 +0000 2023;1739121215657414713;"Mar: winner the circle movie tp gpp May: the other fest Jul: wethefest Aug: FIBA world cup Sep: pestapora, nicole world tour Oct: richard marx  Dec: Lazada fest, RAN the sweet seventeen show";0;0;0;0;en;807849976864702465;1739121215657414713;pacifric;https://twitter.com/pacifric/status/1739121215657414713
Mon Dec 25 00:52:58 +0000 2023;1739086800688185573;"@bbyjimjams @yujinbean Yes it’s from after the wethefest performance in July with seungyeon. She’s posting these in order. https://t.co/w3FP4liWgv";0;2;0;1;en;934593027993161728;1739085178385936513;coloredseung;https://twitter.com/coloredseung/status/1739086800688185573
Sun Dec 24 23:08:42 +0000 2023;1739060558849306713;"Concerts / Music Events / Fan Meeting Event that you attended in 2023:  Feb: Itzy Checkmate May: pH-1 About Damn Time            Red Velvet R to V Jun: Woodz Oo-li Jul: We The Fest (Day1) Aug: ASS Vol.2 Sep: Twice Scarlett Dec: Twice Ready to Be  @doyzenniieee #GiveawayKetemuOppa";0;0;0;1;en;1346146756086489090;1739060558849306713;shoogkiie;https://twitter.com/shoogkiie/status/1739060558849306713
Sun Dec 24 22:52:44 +0000 2023;1739056541909606484;"Jul: Maroon 5, We The Fest Aug: Crush, Asian Sound Syndicate  Sep: NCT NATION (Japan), aespa Oct: -  Nov: Thee Sacred Souls Dec: Gemini, Tabber, Rad Museum  aaaand that concludes my 2023🤣 to more concerts and fun next year!🥂  #GiveawayKetemuOppa";0;0;0;0;en;719910164883578880;1739056539028029945;raw_rebel_root;https://twitter.com/raw_rebel_root/status/1739056541909606484
Sun Dec 24 17:07:31 +0000 2023;1738969667098829059;"Concerts / Music Events / Fan Meeting Event that you attended in 2023:  Jan:  Feb: ITZY CHECKMATE Mar: BP BORN PINK, Arctic Monkeys Apr: May: The Other Festival Jun: Jul: We The Fest Aug: ASS Vol. 2 Sep: NECKDEEP, ONE OK ROCK Oct: FLAVS Nov: Dec: Lazada Fest, TWICE Ready To Be";0;8;0;0;en;1639660310037684229;1738969667098829059;alastpoem;https://twitter.com/alastpoem/status/1738969667098829059
Sun Dec 24 16:24:22 +0000 2023;1738958806309355746;"We the fest, nah.";0;0;0;0;en;1067983047948066817;1738958806309355746;sumisamsudin;https://twitter.com/sumisamsudin/status/1738958806309355746
Sun Dec 24 15:42:28 +0000 2023;1738948263171281016;"@ruthythebear @ttmymoodb ayo jah we the fest 2024 pake itu";0;1;0;0;in;1705983277075775488;1738888045758382121;aIixend;https://twitter.com/aIixend/status/1738948263171281016
Sun Dec 24 15:03:56 +0000 2023;1738938566686966106;"@KetemuOppa Jan:- Feb:- Mar:Blackpink Apr:- May:Red Velvet Jun:Woodz, Aespa Jul:We the Fest Aug:Hwang Min Hyun Sep:- Oct:- Nov:- Dec:Twice  tag: @yeoldorado14 @dearalunaa   #GiveawayKetemuOppa";0;0;0;0;en;3275054738;1738937028887351748;theaugustsky;https://twitter.com/theaugustsky/status/1738938566686966106
Sun Dec 24 07:18:09 +0000 2023;1738821345495191963;"woodz ooli and in bangkok - inul gigi &amp  ungi @ prj fest - nassar (ft. cowo jawaku) we the fest 2023 - aldi taher (again ft. cowo jawaku) https://t.co/1oceuam82o";0;4;0;12;in;1077377593437868033;1738821345495191963;naonsiah_;https://twitter.com/naonsiah_/status/1738821345495191963
Fri Dec 22 15:08:44 +0000 2023;1738214998823067830;"@Sinta_Fatma @andre14s_ @Pratansyah @Arie_Kriting karena ga kamu kasih konteks, kaya kamu bilang WTF orang bakal mikir "what the f-" kalo kamu kasih konteks hiburan ya orang auto mikir "we the fest". kamu cari sgie islam di google udah auto muncul kok jawabannya.";0;1;0;4;in;1152183232152002561;1738205042199707836;jojobascent;https://twitter.com/jojobascent/status/1738214998823067830
Thu Dec 21 17:10:47 +0000 2023;1737883324964864509;"mengingat lagi, tahun ini lumayan juga nonton perkonseran  - mamamoo - blackpink - we the fest (sambil kerja) - se so neon (dpt tiket gratis round fest)  pengen nonton twice, tapi sadar nggak punya budget wkwk";0;0;0;0;in;1116677875;1737883324964864509;denywasawi;https://twitter.com/denywasawi/status/1737883324964864509
Wed Dec 20 13:36:13 +0000 2023;1737466937645715577;"@parkaeriiii Oh iyaa aku liat jg wktu di we the fest. Baguss diaaa";0;1;0;2;in;1369683320854908930;1737452890925723662;sushiboy_20;https://twitter.com/sushiboy_20/status/1737466937645715577
Wed Dec 20 12:22:06 +0000 2023;1737448287530287217;"@8eatopia we the fest";0;1;0;0;en;2757205731;1737447532576538649;oddyinnyc;https://twitter.com/oddyinnyc/status/1737448287530287217
